ContractReference	EYAtBSD	AmortizedAPAtBSD	UnamortizedAPAtBSD	AdditionalPaymentID	AsOfAmortizationAdjustment	AsOfAmortizationAdjustmentDate	IASError	ImpairmentEffectiveDate	ImpairmentBucket	ImpairmentApproach	12mEL	LifetimeEL	LossAllowance
SYCTAHO2_BINTG_LOCOM_I65346	6.619260972029870	8.758347300784635	499.752016855794860	SYCTAS9A				<EMPTY>					
SYCTAHO2_BINTG_LOCOM_I65346	8.216187732913349	65.144164751954349	3569.020147580578900	SYCTAHYV				<EMPTY>					
SYCTAIS8_BINTG_MTMS_I65346	6.619306140024504	20.022747136857561	1142.495513427462400	SYCTAJC2				<EMPTY>					
SYCTAHO2_BINTG_MTMS_I65346	6.619260973688387	20.019066915121130	1142.293174358475900	SYCTAS96				<EMPTY>					
SYCTAHO2_BINTG_MTMS_I65346	6.362514353423499	-0.936042285784879	3.128583171795981	SYCTAHZS				<EMPTY>					
SYCTAJCY_BINTG_00001_I65346	8.093891706385076	-17.372393681016092	-389.569354856777860	SYCTAJVD				<EMPTY>					
SYCTAHR4_BINTG_00001_I65346	8.093960721558469	-17.378856534883653	-389.479729487486110	SYCTASDQ				<EMPTY>					
SYCTAHR4_BINTG_00001_I65346	6.809428690179608	-82.686711681355064	-1964.619302073419200	SYCTAI0O				<EMPTY>					
SYCTAJCY_BINTG_00002_I65346	8.093891706385076	-20.846820099204706	-467.483246246352790	SYCTAJVH				<EMPTY>					
SYCTAHR4_BINTG_00002_I65346	8.093960721558469	-20.832690368797557	-467.385644757654520	SYCTASDU				<EMPTY>					
SYCTAHR4_BINTG_00002_I65346	7.075337334664064	-82.891533987056391	-1964.291632191278000	SYCTAI1F				<EMPTY>					
SYCTAJCY_BINTG_HDSEL_I65346	8.093891706385076	-15.635128365829587	-350.612434684764590	SYCTAJVE				<EMPTY>					
SYCTAHR4_BINTG_HDSEL_I65346	8.093960723263184	-15.631991646252573	-350.536753939697520	SYCTASDR				<EMPTY>					
SYCTAHR4_BINTG_HDSEL_I65346	8.418227718636667	-0.919547477504238	4.490728270495310	SYCTAI0V				<EMPTY>					
SYCTAJCY_BINTG_LOCOM_I65346	8.093891706385076	-19.109554784018655	-428.526326074339520	SYCTAJVG				<EMPTY>					
SYCTAHR4_BINTG_LOCOM_I65346	8.093960721558469	-19.095772391762694	-428.442661599330680	SYCTASDT				<EMPTY>					
SYCTAHR4_BINTG_LOCOM_I65346	6.954360294036801	-82.780047898292651	-1964.495424119364500	SYCTAI12				<EMPTY>					
SYCTAJCY_BINTG_MTMS_I65346	8.093891706385076	-13.897863050876140	-311.655514512518490	SYCTAJVF				<EMPTY>					
SYCTAHR4_BINTG_MTMS_I65346	8.093960723263184	-13.885126844234719	-311.593769935965610	SYCTASDS				<EMPTY>					
SYCTAHR4_BINTG_MTMS_I65346	8.418227718636667	-0.807399582769676	3.986214686110543	SYCTAI1B				<EMPTY>					
JQCXZDJX_BINTG_00001_I65346				JQCXZDY4			Matured product	<EMPTY>					
Y4CXZ0PK_BINTG_00001_I65346	9.650949814282290	-25.600290604401380	9862.143885927740500	Y4CXZ15W				<EMPTY>					
Y4CXZ0PK_BINTG_00001_I65346	9.550678378211069	-35.406991443131119	8999.815248240716800	36CXZHL9				<EMPTY>					
