ContractReference	EYAtBSD	AmortizedAPAtBSD	UnamortizedAPAtBSD	AdditionalPaymentID	AsOfAmortizationAdjustment	AsOfAmortizationAdjustmentDate	IASError	ImpairmentEffectiveDate	ImpairmentBucket	ImpairmentApproach	12mEL	LifetimeEL	LossAllowance
)TCUDC0I_BINTG_00001_I65346	7.508305623308748	6.058178056413453	1688.586902129440200	)TCUDCCL				<EMPTY>					
)TCUDBSZ_BINTG_00001_I65346	7.508305623308748	5.391895592129004	1688.552644745888800	)TCUDBWY				<EMPTY>					
*7CTYJ8Z_BINTG_00001_I65346	6.427654699190548	-57.332655134538072	15053.993380924614000	*7CTYJVG				<EMPTY>					
*7CTYJ8Z_BINTG_LOCOM_I65346	5.022079513973242	-183.627909998893300	5784.922803278957900	*7CTYJXG				<EMPTY>					
*7CTYKQR_BINTG_00001_I65346	7.124106633579003	80.811132697446737	4362.261073894886100	*7CTYNOX				<EMPTY>					
*7CTYJBR_BINTG_LOCOM_I65346	11.626659465860001	118.043315756993250	727.496643977312490	*7CTYJYO				<EMPTY>					
*7CTYJD5_BINTG_00001_I65346	8.193498183015153	-103.865718342953190	-729.115962488132940	*7CTYK0V				<EMPTY>					
*7CTYLMZ_BINTG_00001_I65346	7.421062811198917	51.982549201173242	-13046.966543202027000	*7CTYO04				<EMPTY>					
*7CTYJEJ_BINTG_00001_I65346	8.102775243544938	227.282444150594530	-7861.816204533650300	*7CTYNWG				<EMPTY>					
*7CTYLZ4_BINTG_00001_I65346	11.363647354735825	104.387659305648410	4251.506380336271800	*7CTYO4N				<EMPTY>					
*7CTYM8W_BINTG_00001_I65346	7.231672989346656	-235.970801943913100	14357.031666265801000	*7CTYNC8				<EMPTY>					
*7CTYJHB_BINTG_00001_I65346	7.920124157911841	-131.074730661697690	17421.303064700216000	*7CTYN8C				<EMPTY>					
*7CTYJHB_BINTG_00001_I65346	7.003476468540122	-270.912861098535360	13336.572929620743000	*7CTYK1O				<EMPTY>					
*7CTYM8W_BINTG_00002_I65346	7.231673270348284	-157.313838675618170	9571.351947472896400	*7CTYNC7				<EMPTY>					
*7CTYJHB_BINTG_00002_I65346	7.920124440834014	-87.383124447427690	11614.199546656106000	*7CTYN8B				<EMPTY>					
*7CTYJHB_BINTG_00002_I65346	8.440291842471476	-34.889129030983895	13148.239743955433000	*7CTYK2Z				<EMPTY>					
*7CTYMMB_BINTG_00001_I65346	6.046696853315550	-58.767093698977988	-349.600444526007780	*7CTYNFZ				<EMPTY>					
*7CTYMMB_BINTG_00001_I65346	6.895973083352530	61.800557072721858	374.676288582788400	*7CTYNKX				<EMPTY>					
*7CTYMMB_BINTG_00003_I65346	6.046696854135919	-48.082160900346935	-286.036730271764100	*7CTYNFY				<EMPTY>					
*7CTYMMB_BINTG_00003_I65346	6.895973083352530	50.564099619165063	306.553323038853700	*7CTYNKW				<EMPTY>					
+#CHBEC3_BINTG_00001_I65346	12.663105164014762	195.365458058891820	1315.621340247569600	+#CHBEOC				<EMPTY>					
+#CHBEC3_BINTG_00001_I65346		-136.873802354326470	-106706.816315357340000	+#CHBEFB			<20150811>:SimpleEY@OD: Unable to compute IRR	<EMPTY>					
+#CHBEC3_BINTG_00003_I65346	12.663105164014762	130.243638705869670	877.080893498321530	+#CHBEOB				<EMPTY>					
.UCUDHYE_BINTG_00001_I65346	5.510319222683393	8.137833964228776	1688.966527210999200	.UCUDICS				<EMPTY>					
.UCUDHP6_BINTG_00001_I65346	5.510319222683393	8.124515319159400	1688.959858567089700	.UCUDHTT				<EMPTY>					
.UCUDIDC_BINTG_00001_I65346	7.553677639248341	10.474286327665141	1690.464966330993800	.UCUDIPX				<EMPTY>					
0PCTTK3Z_BINTG_00001_I65346	10.712571220035457	66.373642202150222	66.420492925414692	0PCTTKHV				<EMPTY>					
0PCTTJXR_BINTG_00001_I65346	1521.727586098956000	-79.411261644083424	-79.254116601194255	0PCTTKNM			<20150811>:PureEY@OD: Unable to compute IRR	<EMPTY>					
0PCTTJXR_BINTG_00001_I65346		-27.397260273972279	2438.356164383561000	0PCTTK0G			<20150811>:PureEY@OD: Unable to compute IRR	<EMPTY>					
0PCTTK3Z_BINTG_LOCOM_I65346	10.712571234341898	44.249093085089726	44.280330617709524	0PCTTKHW				<EMPTY>					
0PCTTJXR_BINTG_LOCOM_I65346	1521.727610656427300	-52.947507683028107	-52.829420275513712	0PCTTKNN			<20150811>:PureEY@OD: Unable to compute IRR	<EMPTY>					
4DCHFI86_BINTG_00001_I65346				4DCHFIUV			Matured Product	<EMPTY>					
4DCHFI86_BINTG_00001_I65346				4DCHFIZX			Matured Product	<EMPTY>					
4DCHFI86_BINTG_00001_I65346				4DCHFIN7			Matured Product	<EMPTY>					
4DCHFI86_BINTG_00003_I65346				4DCHFIUW			Matured Product	<EMPTY>					
4DCHFI86_BINTG_00003_I65346				4DCHFIZY			Matured Product	<EMPTY>					
16CSSISP_BINTG_00001_I65346	7.178430450860714	-39.903825091943872	-7100.702194244266100	16CSSJ6I				<EMPTY>					
6$CSISFF_BINTG_00001_I65346	7.398113477097827	13.495250505580771	7417.367487743220400	16CSSIRQ				<EMPTY>					
6$CSIX1Y_BINTG_00001_I65346	6.576762298945188	83.601167956294375	1027.098672617299600	6$CSIXGO				<EMPTY>					
6$CSIX3C_BINTG_00001_I65346	8.950638826327630	84.633087099864497	1058.826171618551600	6$CSIYKV				<EMPTY>					
6$CSJ1C9_BINTG_00001_I65346	6.738200530000449	83.667516104949755	1029.000344274492800	6$CSJ1QQ				<EMPTY>					
6$CSJ27H_BINTG_00001_I65346	19.639336343029363	-75.948086624295684	-720.974279668851520	6$CSJ2L9				<EMPTY>					
6$CSIX64_BINTG_00001_I65346	20.373903265224236	92.254610192700056	1310.622196791024200	6$CSJ2PX				<EMPTY>					
6$CSIX7I_BINTG_00001_I65346	6.151403083011293	-50.160596756413725	-589.249557827524770	6$CSJ1BF				<EMPTY>					
6$CSIX7I_BINTG_00003_I65346	6.151403083011293	-33.433737705796375	-392.836365349851800	6$CSJ1BE				<EMPTY>					
6$CSJ1RD_BINTG_00001_I65346	9.104380205253621	71.999965106246236	901.978961524444460	6$CSJ26R				<EMPTY>					
